collection,gpp_no,accession_number,culture_general,culture_specific,country_production,region_production,date_earliest,mean_date,date_latest,period,art_period,war,dynasty,dynasty_simple,reign,material,technique,description,ware,maker,object_type,dimensions,N_gpp_no
bapd,bapd_9032933,"göttingen, georg-august-universität: k634 | göttingen, georg-august-universität: j38 | göttingen, georg-august-universität: hu566",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9033122,"erlangen, friedrich-alexander-universität: i171",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9033314,"mannheim, reiss-museum: cg63",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black painted,NA,NA,NA,aryballos,NA,1
bapd,bapd_9034371,"frankfurt, goethe-universität, antikensammlung: 80",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034841,"kiel, antikensammlung: b652",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black painted,NA,NA,NA,oinochoe,NA,1
bapd,bapd_9034842,"kiel, antikensammlung: b493",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black painted,NA,NA,NA,oinochoe,NA,1
bapd,bapd_9034901,"athens, national museum: 395",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034903,"athens, national museum: 389",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034904,"athens, national museum: 389",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034905,"athens, national museum: 9705",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034906,"athens, national museum: 26938",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034908,"athens, national museum: cc887",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034917,"athens, national museum: 30186",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034918,"athens, national museum: 26172",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034919,"athens, national museum: 19665",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034921,"athens, national museum: 12151",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9034922,"athens, national museum: 26941",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035021,"stuttgart, wurttembergisches landesmuseum: 93",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035022,"stuttgart, wurttembergisches landesmuseum: 99",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035106,"berlin, antikensammlung: f2031",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,alabastron,NA,1
bapd,bapd_9035107,"berlin, antikensammlung: vi4982.11",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,alabastron,NA,1
bapd,bapd_9035109,"berlin, antikensammlung: f2257",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,alabastron,NA,1
bapd,bapd_9035267,"dublin, university college: v3014 | dublin, university college: 120",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035377,"dublin, university college: 127 | dublin, national museum of ireland: 1910.34 | dublin, university college: v5018",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
